Job Title,Alternative Job Titles,Description keywords
safety specialist,hse technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
safety specialist,safety advisor,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
safety specialist,hse officer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
safety specialist,hse advisor,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
safety specialist,electrical safety specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
soldering technician,cable assembler,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
specialist coating technician,painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
specialist coating technician,applier,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
steel production engineer,engineer,"""wind energy"" OR ""wind power"" OR ""wind project"" AND ""steel"""
Stocker,order filler,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal engineer,structural engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal engineer,structural design engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal engineer,steel structural engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal engineer,metal fabrication engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal engineer,structural steel engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal fabricator,metal fabrication specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal fabricator,structural fabrication technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal fabricator,steel fabricator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal fabricator,metal fabrication engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
structural metal fabricator,structural welder,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical commercial sales engineer,technical sales engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical commercial sales engineer,commerical sales engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical commercial sales engineer,sales engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical writer,documentation specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical writer,content developer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical writer,communicator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
technical writer,content writer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
thermoplastics engineer,plastics engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
thermoplastics engineer,polymer engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
thermoplastics engineer,plastics process engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
thermoplastics engineer,materials engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
tower design engineer,structural tower engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
truck driver,driver,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vibration and noise control engineer,vibration control engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vibration and noise control engineer,vibration engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vibration and noise control engineer,noise engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vibration and noise control engineer,noise control engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vice president,vice president of strategy and operations,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vice president,vice president of quality,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
vice president,vice president of supply chain,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
warehouse manager,distribution manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
warehouse manager,logistics manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
warehouse manager,inventory manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
warehouse manager,warehouse operations manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
warehouse manager,supply chain manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
welding machnist,weld specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
welding machnist,welding engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
workforce recruiter,recruitment specialist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
workforce recruiter,staffing coordinator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
workforce recruiter,hr recruiter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
workforce recruiter,talent scout,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
